,id,floor,floors_count,total_meters,price_per_month,district,underground,Холодильник,Стиральная машина,Телевизор,Посудомоечная машина,Кондиционер,Интернет,Площадь кухни,Высота потолков,Санузел,Балкон/лоджия,Вид из окон,Ремонт,Год постройки,Тип дома,Парковка,adress,time_to_rent,m_lat,m_long,a_lat,a_long
0,298765026.0,3,6,38.0,30000,Невский,Ломоносовская,1.0,1.0,1.0,0.0,0.0,1.0,7.6,2.5,1.0,"1 лоджия, 1 балкон",На улицу и двор,Косметический,1961.0,Блочный,Наземная, Бабушкина 101к1 Санкт-Петербург,6,59.877335,30.441695,59.868379,30.450409
1,298762151.0,3,5,34.0,18000,Калининский,Академическая,1.0,1.0,0.0,0.0,0.0,1.0,8.0,2.5,1.0,1 лоджия,Во двор,Косметический,1966.0,Блочный,Наземная, Верности 28К3 Санкт-Петербург,7,60.012719,30.396133,60.005369,30.415482
2,298759135.0,4,10,45.0,60000,Василеостровский,Приморская,1.0,1.0,1.0,1.0,0.0,0.0,8.0,2.6,1.0,1 лоджия,На улицу,Дизайнерский,1974.0,Кирпичный,Наземная, Кораблестроителей 22К1 Санкт-Петербург,3,59.94846,30.234607,59.945148,30.212867
3,298758825.0,8,23,47.0,45000,Невский,Пролетарская,1.0,1.0,1.0,0.0,1.0,1.0,19.0,2.7,1.0,1 лоджия,На улицу,Дизайнерский,2014.0,Монолитный,Многоуровневая,проспект Обуховской обороны 110К1 Санкт-Петербург,1,59.865122,30.470324,59.866671,30.4686
4,298758800.0,7,15,35.0,37000,Приморский,Беговая,1.0,1.0,1.0,0.0,0.0,1.0,8.0,2.7,1.0,1 балкон,На улицу,Евроремонт,2015.0,Монолитный,Подземная,Мебельная  19К2 Санкт-Петербург,0,59.988005,30.202609,59.996245,30.217278
5,298757004.0,6,9,29.6,15000,Колпинский,Шушары,1.0,1.0,1.0,0.0,0.0,0.0,6.8,2.5,1.0,нет балкона,Во двор,Косметический,1975.0,Монолитный,Наземная,бульвар Трудящихся 4 Санкт-Петербург,3,59.820042,30.432865,59.738715,30.570945
6,298756310.0,2,5,36.0,35000,Московский,Звездная,1.0,1.0,1.0,1.0,0.0,1.0,10.5,2.7,1.0,1 балкон,На улицу,Евроремонт,2022.0,Монолитный,Многоуровневая, Орбитальная 9к1 Санкт-Петербург,4,59.83328,30.349447,59.761839,30.314655
7,298756065.0,10,16,32.4,21000,Выборгский,Проспект Просвещения,1.0,1.0,0.0,0.0,0.0,1.0,6.3,2.67277397260274,1.0,1 лоджия,Во двор,Косметический,1978.0,Панельный,Наземная,Поэтический бульвар 19К1 Санкт-Петербург,1,60.051176,30.332676,60.04144,30.357011
8,298755426.0,3,12,45.7,20000,Пушкинский,Шушары,1.0,1.0,1.0,0.0,0.0,1.0,14.0,2.7,1.0,1 балкон,На улицу,Косметический,2014.0,Панельный,Наземная,Московское шоссе 246 Санкт-Петербург,13,59.820042,30.432865,59.759623,30.474286
9,298755389.0,8,16,42.0,48000,Адмиралтейский,Фрунзенская,1.0,1.0,1.0,0.0,0.0,1.0,15.0,2.7,1.0,1 лоджия,На улицу,Евроремонт,2018.0,Кирпичный,Наземная, Парфеновская 5 Санкт-Петербург,6,59.906179,30.31753,59.904775,30.31082
10,298754123.0,4,16,42.0,55000,Василеостровский,Приморская,1.0,1.0,1.0,0.0,0.0,1.0,17.0,2.8,1.0,1 лоджия,На улицу,Дизайнерский,2020.0,Монолитный,Наземная, Челюскина 2 Санкт-Петербург,1,59.94846,30.234607,59.941249,30.194991
11,298752735.0,14,18,42.0,50000,Московский,Электросила,1.0,1.0,1.0,1.0,0.0,1.0,13.2,2.7,1.0,1 лоджия,На улицу,Дизайнерский,2014.0,Кирпичный,Наземная,Варшавская  6к1 Санкт-Петербург,1,59.879164,30.318707,59.879778,30.314036
12,298752610.0,8,9,33.0,19000,Выборгский,Проспект Просвещения,1.0,1.0,1.0,0.0,0.0,0.0,6.5,2.5,1.0,нет балкона,На улицу,Косметический,1975.0,Панельный,Наземная,Сиреневый бульвар 8К1 Санкт-Петербург,4,60.051176,30.332676,60.054415,30.353103
